"study","outcome.variable","outcome.name","outcome.min","outcome.max","condition.name","n_total","n","mean","sd"
"Harbridge-Yong1032","Harbridge-Yong1032.Q43","Article_Fairness",1,7,"GOP Majority -Bipartisan Green Energy",247,245,3,1.66693986831864
"Harbridge-Yong1032","Harbridge-Yong1032.Q43","Article_Fairness",1,7,"GOP Majority -Minority Gas Tax",264,261,3.11494252873563,1.64615136716142
"Harbridge-Yong1032","Harbridge-Yong1032.Q43","Article_Fairness",1,7,"GOP Majority -Minority Green Energy",262,260,2.95769230769231,1.74042844698976
"Howat1039","Howat1039.Q2_D1","Feeling_Dem",0,100,"Control",505,501,51.7125748502994,31.1328961318552
"Howat1039","Howat1039.Q2_D1","Feeling_Dem",0,100,"Political Issues",490,487,55.2956878850103,29.9723954254618
"Howat1039","Howat1039.Q2_D1","Feeling_Dem",0,100,"Social Groups",502,493,55.3833671399594,30.1231396757356
"Howat1039","Howat1039.Q2_D1","Feeling_Dem",0,100,"Traits",518,512,54.44140625,29.5264067086773
"Howat1039","Howat1039.Q3_12","Feeling_DemPartySupporters",1,7,"Control",505,498,2.58433734939759,1.26789630050077
"Howat1039","Howat1039.Q3_12","Feeling_DemPartySupporters",1,7,"Political Issues",490,485,2.58762886597938,1.33107004521953
"Howat1039","Howat1039.Q3_12","Feeling_DemPartySupporters",1,7,"Social Groups",502,487,2.60164271047228,1.42054203837167
"Howat1039","Howat1039.Q3_12","Feeling_DemPartySupporters",1,7,"Traits",518,511,2.46183953033268,1.28567207635714
"Howat1039","Howat1039.IDEO3","Personal_ideology",1,7,"Control",505,466,4.06223175965665,1.56383542775341
"Howat1039","Howat1039.IDEO3","Personal_ideology",1,7,"Political Issues",490,453,4.02869757174393,1.52023732687242
"Howat1039","Howat1039.IDEO3","Personal_ideology",1,7,"Social Groups",502,453,3.91169977924945,1.60231303436955
"Howat1039","Howat1039.IDEO3","Personal_ideology",1,7,"Traits",518,464,4.01077586206897,1.606510862247
"Kennedy1017","Kennedy1017.Q11","Family_approval",1,11,"Green; High",640,634,8.97634069400631,1.93522478310748
"Kennedy1017","Kennedy1017.Q11","Family_approval",1,11,"Green; Low",654,648,8.8641975308642,1.93561327150079
"Kennedy1017","Kennedy1017.Q11","Family_approval",1,11,"Not Green; High",634,620,8.43709677419355,1.76784544085051
"Kennedy1017","Kennedy1017.Q11","Family_approval",1,11,"Not Green; Low",667,661,8.39788199697428,1.92918456427162
"Kennedy1017","Kennedy1017.Q22","Family_friends",1,11,"Green; High",640,631,8.33280507131537,2.10973214843329
"Kennedy1017","Kennedy1017.Q22","Family_friends",1,11,"Green; Low",654,648,8.30555555555555,2.08160412522594
"Kennedy1017","Kennedy1017.Q22","Family_friends",1,11,"Not Green; High",634,626,7.61022364217252,2.09184877797229
"Kennedy1017","Kennedy1017.Q22","Family_friends",1,11,"Not Green; Low",667,661,7.83963691376702,2.13307343807265
"Kennedy1017","Kennedy1017.Q33","Family_knowledge",1,11,"Green; High",640,632,8.38449367088608,1.85853410785781
"Kennedy1017","Kennedy1017.Q33","Family_knowledge",1,11,"Green; Low",654,642,7.71028037383178,1.89346200416208
